State_s,ld_address_change_i,start_store_i,Next_state_ns,st_addr_release_o,OE_o,WE_o,clear_writebufV_o,PreCharged_o
IDLE,0,0,LD_WAIT_0,0,1,1,0,0
IDLE,1,0,LD_WAIT_0,0,1,1,0,0
IDLE,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
IDLE,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
ST_ADDR_WAIT_0,0,0,ST_ADDR_WAIT_1,1,1,1,0,0
ST_ADDR_WAIT_0,0,1,ST_ADDR_WAIT_1,1,1,1,0,0
ST_ADDR_WAIT_0,1,0,ST_ADDR_WAIT_1,1,1,1,0,0
ST_ADDR_WAIT_0,1,1,ST_ADDR_WAIT_1,1,1,1,0,0
ST_ADDR_WAIT_1,0,0,ST_ADDR_WAIT_2,1,1,1,0,0
ST_ADDR_WAIT_1,0,1,ST_ADDR_WAIT_2,1,1,1,0,0
ST_ADDR_WAIT_1,1,0,ST_ADDR_WAIT_2,1,1,1,0,0
ST_ADDR_WAIT_1,1,1,ST_ADDR_WAIT_2,1,1,1,0,0
ST_ADDR_WAIT_2,0,0,ST_ADDR_WAIT_3,1,1,1,0,0
ST_ADDR_WAIT_2,0,1,ST_ADDR_WAIT_3,1,1,1,0,0
ST_ADDR_WAIT_2,1,0,ST_ADDR_WAIT_3,1,1,1,0,0
ST_ADDR_WAIT_2,1,1,ST_ADDR_WAIT_3,1,1,1,0,0
ST_ADDR_WAIT_3,0,0,ST_WRITE_WAIT_0,1,1,0,0,0
ST_ADDR_WAIT_3,0,1,ST_WRITE_WAIT_0,1,1,0,0,0
ST_ADDR_WAIT_3,1,0,ST_WRITE_WAIT_0,1,1,0,0,0
ST_ADDR_WAIT_3,1,1,ST_WRITE_WAIT_0,1,1,0,0,0
ST_WRITE_WAIT_0,0,0,ST_WRITE_WAIT_1,1,1,0,0,0
ST_WRITE_WAIT_0,0,1,ST_WRITE_WAIT_1,1,1,0,0,0
ST_WRITE_WAIT_0,1,0,ST_WRITE_WAIT_1,1,1,0,0,0
ST_WRITE_WAIT_0,1,1,ST_WRITE_WAIT_1,1,1,0,0,0
ST_WRITE_WAIT_1,0,0,ST_WRITE_WAIT_2,1,1,0,0,0
ST_WRITE_WAIT_1,0,1,ST_WRITE_WAIT_2,1,1,0,0,0
ST_WRITE_WAIT_1,1,0,ST_WRITE_WAIT_2,1,1,0,0,0
ST_WRITE_WAIT_1,1,1,ST_WRITE_WAIT_2,1,1,0,0,0
ST_WRITE_WAIT_2,0,0,ST_WRITE_WAIT_3,1,1,0,0,0
ST_WRITE_WAIT_2,0,1,ST_WRITE_WAIT_3,1,1,0,0,0
ST_WRITE_WAIT_2,1,0,ST_WRITE_WAIT_3,1,1,0,0,0
ST_WRITE_WAIT_2,1,1,ST_WRITE_WAIT_3,1,1,0,0,0
ST_WRITE_WAIT_3,0,0,ST_WRITE_WAIT_4,1,1,0,0,0
ST_WRITE_WAIT_3,0,1,ST_WRITE_WAIT_4,1,1,0,0,0
ST_WRITE_WAIT_3,1,0,ST_WRITE_WAIT_4,1,1,0,0,0
ST_WRITE_WAIT_3,1,1,ST_WRITE_WAIT_4,1,1,0,0,0
ST_WRITE_WAIT_4,0,0,ST_WRITE_WAIT_5,1,1,0,0,0
ST_WRITE_WAIT_4,0,1,ST_WRITE_WAIT_5,1,1,0,0,0
ST_WRITE_WAIT_4,1,0,ST_WRITE_WAIT_5,1,1,0,0,0
ST_WRITE_WAIT_4,1,1,ST_WRITE_WAIT_5,1,1,0,0,0
ST_WRITE_WAIT_5,0,0,IDLE,0,1,1,1,0
ST_WRITE_WAIT_5,0,1,IDLE,0,1,1,1,0
ST_WRITE_WAIT_5,1,0,IDLE,0,1,1,1,0
ST_WRITE_WAIT_5,1,1,IDLE,0,1,1,1,0
LD_WAIT_0,0,0,LD_WAIT_1,0,0,1,0,0
LD_WAIT_0,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_0,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_0,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_1,0,0,LD_WAIT_2,0,0,1,0,0
LD_WAIT_1,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_1,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_1,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_2,0,0,LD_WAIT_3,0,0,1,0,0
LD_WAIT_2,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_2,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_2,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_3,0,0,LD_WAIT_4,0,0,1,0,0
LD_WAIT_3,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_3,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_3,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_4,0,0,LD_WAIT_5,0,0,1,0,0
LD_WAIT_4,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_4,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_4,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_5,0,0,LD_WAIT_6,0,0,1,0,0
LD_WAIT_5,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_5,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_5,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_6,0,0,LD_WAIT_6,0,0,1,0,1
LD_WAIT_6,1,0,LD_WAIT_0,0,0,1,0,0
LD_WAIT_6,0,1,ST_ADDR_WAIT_0,1,1,1,0,0
LD_WAIT_6,1,1,ST_ADDR_WAIT_0,1,1,1,0,0
ERROR,0,0,ERROR,0,0,0,0,0
ERROR,0,1,ERROR,0,0,0,0,0
ERROR,1,0,ERROR,0,0,0,0,0
ERROR,1,1,ERROR,0,0,0,0,0
