Input,REP,REP_CMP,HALT,MOVS,XCHG,CMPXCHG,SHIFT_BY_ONE,MODRM_NEEDED,RM_IS_DR,REG_IS_DR,REG_IS_SEGMENT,MODRM_BUT_NO_SR,HARD_CODED_DR,HARD_CODED_DR_ID,,,,,,HARD_CODED_SR,HARD_CODED_SR_ID,,,,,,OP_IN_MODRM,OP_IN_MODRM_SUBSET,,DATA_SIZE,,will_mod_zf,HARDCODED_SEGMENT0,,,,,,HARDCODED_SEGMENT1_V,HARDCODED_SEGMENT1,,,,,,HARDCODED_LD_OP,HARDCODED_ST_OP,LD_OP_CANCEL,ST_OP_CANCEL,HARDCODED_DR_RD,HARDCODED_DR_WR,HARDCODED_SR_RD,HARDCODED_SR_WR,ST_SEL,alu_inputA_sel,,,,alu_inputB_sel,,,,branch_target_sel,,,,OP_TYPE,,,,,,br_uncond,relative_branch,special_br,is_far,is_call,second_flag_needed
0_0000_1000_0  (x0_08_0),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1000_1  (x0_08_1),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1001_0  (x0_09_0),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1001_1  (x0_09_1),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,1,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1010_0  (x0_0A_0),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1010_1  (x0_0A_1),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1011_0  (x0_0B_0),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1011_1  (x0_0B_1),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,1,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1100_0  (x0_0C_0),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1100_1  (x0_0C_1),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1101_0  (x0_0D_0),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1101_1  (x0_0D_1),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,0,1,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,OR,,,,,,0,0,0,0,0,0
0_0000_1110_0  (x0_0E_0),0,0,0,0,0,0,0,0,0,0,0,0,1,CS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,0,1,0,0,1,0,1,1,1,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,PUSH,,,,,,0,0,0,0,0,0
0_0000_1110_1  (x0_0E_1),0,0,0,0,0,0,0,0,0,0,0,0,1,CS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,0,1,0,0,1,0,1,1,1,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,PUSH,,,,,,0,0,0,0,0,0
0_0000_1111_0  (x0_0F_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0000_1111_1  (x0_0F_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0000_0  (x0_10_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0000_1  (x0_10_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0001_0  (x0_11_0),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,ADC,,,,,,0,0,0,0,0,0
0_0001_0001_1  (x0_11_1),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,ADC,,,,,,0,0,0,0,0,0
0_0001_0010_0  (x0_12_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0010_1  (x0_12_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0011_0  (x0_13_0),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,ADC,,,,,,0,0,0,0,0,0
0_0001_0011_1  (x0_13_1),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,ADC,,,,,,0,0,0,0,0,0
0_0001_0100_0  (x0_14_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0100_1  (x0_14_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0101_0  (x0_15_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0101_1  (x0_15_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_0110_0  (x0_16_0),0,0,0,0,0,0,0,0,0,0,0,0,1,SS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,0,1,0,0,1,0,1,1,1,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,PUSH,,,,,,0,0,0,0,0,0
0_0001_0110_1  (x0_16_1),0,0,0,0,0,0,0,0,0,0,0,0,1,SS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,0,1,0,0,1,0,1,1,1,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,PUSH,,,,,,0,0,0,0,0,0
0_0001_0111_0  (x0_17_0),0,0,0,0,0,0,0,0,0,0,0,0,1,SS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,1,0,0,0,0,1,1,1,0,BUFFER,,,,SR_REGISTER,,,,NO_EXE,,,,POP,,,,,,0,0,0,0,0,0
0_0001_0111_1  (x0_17_1),0,0,0,0,0,0,0,0,0,0,0,0,1,SS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,1,0,0,0,0,1,1,1,0,BUFFER,,,,SR_REGISTER,,,,NO_EXE,,,,POP,,,,,,0,0,0,0,0,0
0_0001_1000_0  (x0_18_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1000_1  (x0_18_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1001_0  (x0_19_0),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,SBB,,,,,,0,0,0,0,0,0
0_0001_1001_1  (x0_19_1),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,SBB,,,,,,0,0,0,0,0,0
0_0001_1010_0  (x0_1A_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1010_1  (x0_1A_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1011_0  (x0_1B_0),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,SBB,,,,,,0,0,0,0,0,0
0_0001_1011_1  (x0_1B_1),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,SBB,,,,,,0,0,0,0,0,0
0_0001_1100_0  (x0_1C_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1100_1  (x0_1C_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1101_0  (x0_1D_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1101_1  (x0_1D_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0001_1110_0  (x0_1E_0),0,0,0,0,0,0,0,0,0,0,0,0,1,DS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,0,1,0,0,1,0,1,1,1,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,PUSH,,,,,,0,0,0,0,0,0
0_0001_1110_1  (x0_1E_1),0,0,0,0,0,0,0,0,0,0,0,0,1,DS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,0,1,0,0,1,0,1,1,1,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,PUSH,,,,,,0,0,0,0,0,0
0_0001_1111_0  (x0_1F_0),0,0,0,0,0,0,0,0,0,0,0,0,1,DS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,1,0,0,0,0,1,1,1,0,BUFFER,,,,SR_REGISTER,,,,NO_EXE,,,,POP,,,,,,0,0,0,0,0,0
0_0001_1111_1  (x0_1F_1),0,0,0,0,0,0,0,0,0,0,0,0,1,DS,,,,,,1,ESP,,,,,,0,0,,1,0,0,SS,,,,,,0,SS,,,,,,1,0,0,0,0,1,1,1,0,BUFFER,,,,SR_REGISTER,,,,NO_EXE,,,,POP,,,,,,0,0,0,0,0,0
0_0010_0000_0  (x0_20_0),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0000_1  (x0_20_1),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0001_0  (x0_21_0),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
