State_s,req_hit_i,others_busy_i,mem_ready_i,,NextState_ns,busy_o,mem_valid_o,ld_req_o,Drive_Addr_Bus_o,Drv_DB_0_o,Drv_DB_1_o,Drv_DB_2_o,Drv_DB_3_o
IDLE,x,1,x,,IDLE,0,0,0,0,0,0,0,0
IDLE,0,x,x,,IDLE,0,0,0,0,0,0,0,0
IDLE,1,0,x,,MEM_REQ,0,0,0,1,0,0,0,0
MEM_REQ,x,x,0,,MEM_REQ,1,0,1,1,0,0,0,0
MEM_REQ,x,x,1,,LD0,1,1,0,1,1,0,0,0
LD0,x,x,x,,LD1,1,1,0,1,0,1,0,0
LD1,x,x,x,,LD2,1,1,0,1,0,0,1,0
LD2,x,x,x,,IDLE,1,1,0,1,0,0,0,1
